areaCode,areaName,areaType,date,cumAdmissions,hospitalCases
E40000003,London,nhsRegion,2022-07-13,,2225
E40000003,London,nhsRegion,2022-07-12,,2237
E40000003,London,nhsRegion,2022-07-11,128548,2180
E40000003,London,nhsRegion,2022-07-10,128285,2085
E40000003,London,nhsRegion,2022-07-09,128015,2066
E40000003,London,nhsRegion,2022-07-08,127804,1990
E40000003,London,nhsRegion,2022-07-07,127580,1947
E40000003,London,nhsRegion,2022-07-06,127250,1907
E40000003,London,nhsRegion,2022-07-05,126971,1897
E40000003,London,nhsRegion,2022-07-04,126723,1831
E40000003,London,nhsRegion,2022-07-03,126478,1727
E40000003,London,nhsRegion,2022-07-02,126248,1683
E40000003,London,nhsRegion,2022-07-01,126048,1638
E40000003,London,nhsRegion,2022-06-30,125865,1584
E40000003,London,nhsRegion,2022-06-29,125640,1553
E40000003,London,nhsRegion,2022-06-28,125447,1489
E40000003,London,nhsRegion,2022-06-27,125270,1461
E40000003,London,nhsRegion,2022-06-26,125095,1429
E40000003,London,nhsRegion,2022-06-25,124922,1353
E40000003,London,nhsRegion,2022-06-24,124771,1301
E40000003,London,nhsRegion,2022-06-23,124629,1221
E40000003,London,nhsRegion,2022-06-22,124452,1163
E40000003,London,nhsRegion,2022-06-21,124279,1139
E40000003,London,nhsRegion,2022-06-20,124087,1089
E40000003,London,nhsRegion,2022-06-19,123941,1047
E40000003,London,nhsRegion,2022-06-18,123815,1013
E40000003,London,nhsRegion,2022-06-17,123710,1001
E40000003,London,nhsRegion,2022-06-16,123603,995
E40000003,London,nhsRegion,2022-06-15,123488,983
E40000003,London,nhsRegion,2022-06-14,123358,982
E40000003,London,nhsRegion,2022-06-13,123251,1001
E40000003,London,nhsRegion,2022-06-12,123137,967
E40000003,London,nhsRegion,2022-06-11,123049,942
E40000003,London,nhsRegion,2022-06-10,122966,932
E40000003,London,nhsRegion,2022-06-09,122873,914
E40000003,London,nhsRegion,2022-06-08,122797,931
E40000003,London,nhsRegion,2022-06-07,122704,940
E40000003,London,nhsRegion,2022-06-06,122618,917
E40000003,London,nhsRegion,2022-06-05,122520,853
E40000003,London,nhsRegion,2022-06-04,122449,870
E40000003,London,nhsRegion,2022-06-03,122376,855
E40000003,London,nhsRegion,2022-06-02,122318,845
E40000003,London,nhsRegion,2022-06-01,122266,889
E40000003,London,nhsRegion,2022-05-31,122197,916
E40000003,London,nhsRegion,2022-05-30,122145,928
E40000003,London,nhsRegion,2022-05-29,122063,906
E40000003,London,nhsRegion,2022-05-28,122000,903
E40000003,London,nhsRegion,2022-05-27,121950,925
E40000003,London,nhsRegion,2022-05-26,121873,972
E40000003,London,nhsRegion,2022-05-25,121812,1004
E40000003,London,nhsRegion,2022-05-24,121729,1016
E40000003,London,nhsRegion,2022-05-23,121664,1089
E40000003,London,nhsRegion,2022-05-22,121587,1072
E40000003,London,nhsRegion,2022-05-21,121506,1062
E40000003,London,nhsRegion,2022-05-20,121453,1050
E40000003,London,nhsRegion,2022-05-19,121387,1086
E40000003,London,nhsRegion,2022-05-18,121326,1121
E40000003,London,nhsRegion,2022-05-17,121259,1171
E40000003,London,nhsRegion,2022-05-16,121189,1209
E40000003,London,nhsRegion,2022-05-15,121127,1200
E40000003,London,nhsRegion,2022-05-14,121049,1220
E40000003,London,nhsRegion,2022-05-13,120976,1283
E40000003,London,nhsRegion,2022-05-12,120910,1256
E40000003,London,nhsRegion,2022-05-11,120824,1358
E40000003,London,nhsRegion,2022-05-10,120728,1400
E40000003,London,nhsRegion,2022-05-09,120642,1416
E40000003,London,nhsRegion,2022-05-08,120560,1418
E40000003,London,nhsRegion,2022-05-07,120491,1406
E40000003,London,nhsRegion,2022-05-06,120426,1467
E40000003,London,nhsRegion,2022-05-05,120334,1518
E40000003,London,nhsRegion,2022-05-04,120249,1584
E40000003,London,nhsRegion,2022-05-03,120156,1630
E40000003,London,nhsRegion,2022-05-02,120064,1609
E40000003,London,nhsRegion,2022-05-01,119969,1614
E40000003,London,nhsRegion,2022-04-30,119877,1629
E40000003,London,nhsRegion,2022-04-29,119800,1709
E40000003,London,nhsRegion,2022-04-28,119701,1779
E40000003,London,nhsRegion,2022-04-27,119590,1870
E40000003,London,nhsRegion,2022-04-26,119474,1900
E40000003,London,nhsRegion,2022-04-25,119355,1979
E40000003,London,nhsRegion,2022-04-24,119218,1976
E40000003,London,nhsRegion,2022-04-23,119082,2014
E40000003,London,nhsRegion,2022-04-22,118977,2116
E40000003,London,nhsRegion,2022-04-21,118856,2189
E40000003,London,nhsRegion,2022-04-20,118740,2278
E40000003,London,nhsRegion,2022-04-19,118608,2223
E40000003,London,nhsRegion,2022-04-18,118463,1982
E40000003,London,nhsRegion,2022-04-17,118290,1986
E40000003,London,nhsRegion,2022-04-16,118178,1981
E40000003,London,nhsRegion,2022-04-15,118048,2000
E40000003,London,nhsRegion,2022-04-14,117914,2298
E40000003,London,nhsRegion,2022-04-13,117752,2399
E40000003,London,nhsRegion,2022-04-12,117566,2459
E40000003,London,nhsRegion,2022-04-11,117349,2484
E40000003,London,nhsRegion,2022-04-10,117151,2427
E40000003,London,nhsRegion,2022-04-09,116987,2396
E40000003,London,nhsRegion,2022-04-08,116815,2429
E40000003,London,nhsRegion,2022-04-07,116631,2489
E40000003,London,nhsRegion,2022-04-06,116415,2487
E40000003,London,nhsRegion,2022-04-05,116197,2497
E40000003,London,nhsRegion,2022-04-04,115940,2511
E40000003,London,nhsRegion,2022-04-03,115720,2433
E40000003,London,nhsRegion,2022-04-02,115486,2417
E40000003,London,nhsRegion,2022-04-01,115277,2448
E40000003,London,nhsRegion,2022-03-31,115090,2434
E40000003,London,nhsRegion,2022-03-30,114844,2330
E40000003,London,nhsRegion,2022-03-29,114613,2324
E40000003,London,nhsRegion,2022-03-28,114349,2266
E40000003,London,nhsRegion,2022-03-27,114086,2118
E40000003,London,nhsRegion,2022-03-26,113867,2072
E40000003,London,nhsRegion,2022-03-25,113665,2110
E40000003,London,nhsRegion,2022-03-24,113484,2112
E40000003,London,nhsRegion,2022-03-23,113281,2089
E40000003,London,nhsRegion,2022-03-22,113070,2114
E40000003,London,nhsRegion,2022-03-21,112857,2074
E40000003,London,nhsRegion,2022-03-20,112640,1977
E40000003,London,nhsRegion,2022-03-19,112456,1934
E40000003,London,nhsRegion,2022-03-18,112245,1930
E40000003,London,nhsRegion,2022-03-17,112075,1920
E40000003,London,nhsRegion,2022-03-16,111874,1902
E40000003,London,nhsRegion,2022-03-15,111668,1867
E40000003,London,nhsRegion,2022-03-14,111469,1823
E40000003,London,nhsRegion,2022-03-13,111276,1728
E40000003,London,nhsRegion,2022-03-12,111108,1632
E40000003,London,nhsRegion,2022-03-11,110942,1653
E40000003,London,nhsRegion,2022-03-10,110746,1619
E40000003,London,nhsRegion,2022-03-09,110569,1641
E40000003,London,nhsRegion,2022-03-08,110368,1624
E40000003,London,nhsRegion,2022-03-07,110225,1595
E40000003,London,nhsRegion,2022-03-06,110066,1496
E40000003,London,nhsRegion,2022-03-05,109901,1476
E40000003,London,nhsRegion,2022-03-04,109768,1529
E40000003,London,nhsRegion,2022-03-03,109639,1553
E40000003,London,nhsRegion,2022-03-02,109504,1573
E40000003,London,nhsRegion,2022-03-01,109351,1575
E40000003,London,nhsRegion,2022-02-28,109214,1579
E40000003,London,nhsRegion,2022-02-27,109080,1572
E40000003,London,nhsRegion,2022-02-26,108968,1576
E40000003,London,nhsRegion,2022-02-25,108876,1661
E40000003,London,nhsRegion,2022-02-24,108772,1712
E40000003,London,nhsRegion,2022-02-23,108656,1776
E40000003,London,nhsRegion,2022-02-22,108550,1809
E40000003,London,nhsRegion,2022-02-21,108425,1799
E40000003,London,nhsRegion,2022-02-20,108311,1829
E40000003,London,nhsRegion,2022-02-19,108200,1832
E40000003,London,nhsRegion,2022-02-18,108094,1899
E40000003,London,nhsRegion,2022-02-17,107965,1972
E40000003,London,nhsRegion,2022-02-16,107816,2004
E40000003,London,nhsRegion,2022-02-15,107672,2031
E40000003,London,nhsRegion,2022-02-14,107535,2071
E40000003,London,nhsRegion,2022-02-13,107375,2015
E40000003,London,nhsRegion,2022-02-12,107243,2003
E40000003,London,nhsRegion,2022-02-11,107104,2042
E40000003,London,nhsRegion,2022-02-10,106943,2122
E40000003,London,nhsRegion,2022-02-09,106789,2211
E40000003,London,nhsRegion,2022-02-08,106626,2291
E40000003,London,nhsRegion,2022-02-07,106448,2310
E40000003,London,nhsRegion,2022-02-06,106262,2262
E40000003,London,nhsRegion,2022-02-05,106087,2230
E40000003,London,nhsRegion,2022-02-04,105929,2321
E40000003,London,nhsRegion,2022-02-03,105754,2370
E40000003,London,nhsRegion,2022-02-02,105559,2451
E40000003,London,nhsRegion,2022-02-01,105341,2468
E40000003,London,nhsRegion,2022-01-31,105142,2492
E40000003,London,nhsRegion,2022-01-30,104957,2448
E40000003,London,nhsRegion,2022-01-29,104782,2466
E40000003,London,nhsRegion,2022-01-28,104606,2537
E40000003,London,nhsRegion,2022-01-27,104421,2602
E40000003,London,nhsRegion,2022-01-26,104233,2685
E40000003,London,nhsRegion,2022-01-25,104007,2762
E40000003,London,nhsRegion,2022-01-24,103794,2792
E40000003,London,nhsRegion,2022-01-23,103563,2743
E40000003,London,nhsRegion,2022-01-22,103333,2677
E40000003,London,nhsRegion,2022-01-21,103150,2918
E40000003,London,nhsRegion,2022-01-20,102940,3059
E40000003,London,nhsRegion,2022-01-19,102716,3179
E40000003,London,nhsRegion,2022-01-18,102431,3385
E40000003,London,nhsRegion,2022-01-17,102130,3537
E40000003,London,nhsRegion,2022-01-16,101895,3464
E40000003,London,nhsRegion,2022-01-15,101591,3464
E40000003,London,nhsRegion,2022-01-14,101338,3572
E40000003,London,nhsRegion,2022-01-13,101062,3662
E40000003,London,nhsRegion,2022-01-12,100758,3797
E40000003,London,nhsRegion,2022-01-11,100452,3826
E40000003,London,nhsRegion,2022-01-10,100138,3930
E40000003,London,nhsRegion,2022-01-09,99803,3867
E40000003,London,nhsRegion,2022-01-08,99526,3819
E40000003,London,nhsRegion,2022-01-07,99219,3989
E40000003,London,nhsRegion,2022-01-06,98907,4053
E40000003,London,nhsRegion,2022-01-05,98597,4074
E40000003,London,nhsRegion,2022-01-04,98231,3993
E40000003,London,nhsRegion,2022-01-03,97864,3848
E40000003,London,nhsRegion,2022-01-02,97463,3744
E40000003,London,nhsRegion,2022-01-01,97116,3666
E40000003,London,nhsRegion,2021-12-31,96802,3636
E40000003,London,nhsRegion,2021-12-30,96483,3477
E40000003,London,nhsRegion,2021-12-29,96033,3310
E40000003,London,nhsRegion,2021-12-28,95522,3024
E40000003,London,nhsRegion,2021-12-27,95066,2640
E40000003,London,nhsRegion,2021-12-26,94629,2425
E40000003,London,nhsRegion,2021-12-25,94255,2295
E40000003,London,nhsRegion,2021-12-24,93891,2260
E40000003,London,nhsRegion,2021-12-23,93613,2097
E40000003,London,nhsRegion,2021-12-22,93223,2036
E40000003,London,nhsRegion,2021-12-21,92837,1904
E40000003,London,nhsRegion,2021-12-20,92530,1819
E40000003,London,nhsRegion,2021-12-19,92229,1666
E40000003,London,nhsRegion,2021-12-18,91984,1573
E40000003,London,nhsRegion,2021-12-17,91774,1534
E40000003,London,nhsRegion,2021-12-16,91554,1460
E40000003,London,nhsRegion,2021-12-15,91361,1372
E40000003,London,nhsRegion,2021-12-14,91160,1349
E40000003,London,nhsRegion,2021-12-13,90961,1360
E40000003,London,nhsRegion,2021-12-12,90792,1253
E40000003,London,nhsRegion,2021-12-11,90635,1185
E40000003,London,nhsRegion,2021-12-10,90469,1193
E40000003,London,nhsRegion,2021-12-09,90307,1163
E40000003,London,nhsRegion,2021-12-08,90165,1136
E40000003,London,nhsRegion,2021-12-07,90033,1134
E40000003,London,nhsRegion,2021-12-06,89885,1102
E40000003,London,nhsRegion,2021-12-05,89774,1087
E40000003,London,nhsRegion,2021-12-04,89654,1057
E40000003,London,nhsRegion,2021-12-03,89538,1069
E40000003,London,nhsRegion,2021-12-02,89424,1083
E40000003,London,nhsRegion,2021-12-01,89324,1074
E40000003,London,nhsRegion,2021-11-30,89210,1095
E40000003,London,nhsRegion,2021-11-29,89105,1099
E40000003,London,nhsRegion,2021-11-28,89004,994
E40000003,London,nhsRegion,2021-11-27,88898,989
E40000003,London,nhsRegion,2021-11-26,88804,1043
E40000003,London,nhsRegion,2021-11-25,88698,1028
E40000003,London,nhsRegion,2021-11-24,88608,1012
E40000003,London,nhsRegion,2021-11-23,88500,1034
E40000003,London,nhsRegion,2021-11-22,88419,1067
E40000003,London,nhsRegion,2021-11-21,88346,1048
E40000003,London,nhsRegion,2021-11-20,88260,1026
E40000003,London,nhsRegion,2021-11-19,88174,1030
E40000003,London,nhsRegion,2021-11-18,88098,1037
E40000003,London,nhsRegion,2021-11-17,87994,1057
E40000003,London,nhsRegion,2021-11-16,87898,1088
E40000003,London,nhsRegion,2021-11-15,87806,1094
E40000003,London,nhsRegion,2021-11-14,87691,1047
E40000003,London,nhsRegion,2021-11-13,87586,1047
E40000003,London,nhsRegion,2021-11-12,87503,1056
E40000003,London,nhsRegion,2021-11-11,87413,1075
E40000003,London,nhsRegion,2021-11-10,87307,1047
E40000003,London,nhsRegion,2021-11-09,87208,1054
E40000003,London,nhsRegion,2021-11-08,87112,1052
E40000003,London,nhsRegion,2021-11-07,86991,1034
E40000003,London,nhsRegion,2021-11-06,86901,1035
E40000003,London,nhsRegion,2021-11-05,86812,1039
E40000003,London,nhsRegion,2021-11-04,86730,1020
E40000003,London,nhsRegion,2021-11-03,86649,1050
E40000003,London,nhsRegion,2021-11-02,86567,1094
E40000003,London,nhsRegion,2021-11-01,86467,1104
E40000003,London,nhsRegion,2021-10-31,86359,1067
E40000003,London,nhsRegion,2021-10-30,86256,1032
E40000003,London,nhsRegion,2021-10-29,86176,1047
E40000003,London,nhsRegion,2021-10-28,86084,1063
E40000003,London,nhsRegion,2021-10-27,85996,1051
E40000003,London,nhsRegion,2021-10-26,85898,1046
E40000003,London,nhsRegion,2021-10-25,85791,1044
E40000003,London,nhsRegion,2021-10-24,85693,1003
E40000003,London,nhsRegion,2021-10-23,85597,993
E40000003,London,nhsRegion,2021-10-22,85504,969
E40000003,London,nhsRegion,2021-10-21,85395,979
E40000003,London,nhsRegion,2021-10-20,85324,959
E40000003,London,nhsRegion,2021-10-19,85223,965
E40000003,London,nhsRegion,2021-10-18,85118,918
E40000003,London,nhsRegion,2021-10-17,85024,896
E40000003,London,nhsRegion,2021-10-16,84918,882
E40000003,London,nhsRegion,2021-10-15,84818,879
E40000003,London,nhsRegion,2021-10-14,84719,864
E40000003,London,nhsRegion,2021-10-13,84614,849
E40000003,London,nhsRegion,2021-10-12,84517,853
E40000003,London,nhsRegion,2021-10-11,84424,894
E40000003,London,nhsRegion,2021-10-10,84349,878
E40000003,London,nhsRegion,2021-10-09,84291,867
E40000003,London,nhsRegion,2021-10-08,84224,885
E40000003,London,nhsRegion,2021-10-07,84146,884
E40000003,London,nhsRegion,2021-10-06,84062,904
E40000003,London,nhsRegion,2021-10-05,83986,925
