areaCode,areaName,areaType,date,age,deaths,rollingSum,rollingRate
E12000001,North East,region,2022-07-01,00_04,0,0,0.0
E12000001,North East,region,2022-07-01,00_59,0,1,0.1
E12000001,North East,region,2022-07-01,05_09,0,0,0.0
E12000001,North East,region,2022-07-01,10_14,0,0,0.0
E12000001,North East,region,2022-07-01,15_19,0,0,0.0
E12000001,North East,region,2022-07-01,20_24,0,0,0.0
E12000001,North East,region,2022-07-01,25_29,0,0,0.0
E12000001,North East,region,2022-07-01,30_34,0,0,0.0
E12000001,North East,region,2022-07-01,35_39,0,0,0.0
E12000001,North East,region,2022-07-01,40_44,0,0,0.0
E12000001,North East,region,2022-07-01,45_49,0,0,0.0
E12000001,North East,region,2022-07-01,50_54,0,1,0.5
E12000001,North East,region,2022-07-01,55_59,0,0,0.0
E12000001,North East,region,2022-07-01,60+,4,27,3.8
E12000001,North East,region,2022-07-01,60_64,0,1,0.6
E12000001,North East,region,2022-07-01,65_69,0,2,1.3
E12000001,North East,region,2022-07-01,70_74,1,4,2.7
E12000001,North East,region,2022-07-01,75_79,0,3,3.0
E12000001,North East,region,2022-07-01,80_84,0,5,6.7
E12000001,North East,region,2022-07-01,85_89,0,3,6.8
E12000001,North East,region,2022-07-01,90+,3,9,39.9
E12000001,North East,region,2022-06-30,00_04,0,0,0.0
E12000001,North East,region,2022-06-30,00_59,0,1,0.1
E12000001,North East,region,2022-06-30,05_09,0,0,0.0
E12000001,North East,region,2022-06-30,10_14,0,0,0.0
E12000001,North East,region,2022-06-30,15_19,0,0,0.0
E12000001,North East,region,2022-06-30,20_24,0,0,0.0
E12000001,North East,region,2022-06-30,25_29,0,0,0.0
E12000001,North East,region,2022-06-30,30_34,0,0,0.0
E12000001,North East,region,2022-06-30,35_39,0,0,0.0
E12000001,North East,region,2022-06-30,40_44,0,0,0.0
E12000001,North East,region,2022-06-30,45_49,0,0,0.0
E12000001,North East,region,2022-06-30,50_54,0,1,0.5
E12000001,North East,region,2022-06-30,55_59,0,0,0.0
E12000001,North East,region,2022-06-30,60+,4,24,3.4
E12000001,North East,region,2022-06-30,60_64,0,1,0.6
E12000001,North East,region,2022-06-30,65_69,0,2,1.3
E12000001,North East,region,2022-06-30,70_74,1,4,2.7
E12000001,North East,region,2022-06-30,75_79,1,3,3.0
E12000001,North East,region,2022-06-30,80_84,0,5,6.7
E12000001,North East,region,2022-06-30,85_89,0,3,6.8
E12000001,North East,region,2022-06-30,90+,2,6,26.6
E12000001,North East,region,2022-06-29,00_04,0,0,0.0
E12000001,North East,region,2022-06-29,00_59,0,2,0.1
E12000001,North East,region,2022-06-29,05_09,0,0,0.0
E12000001,North East,region,2022-06-29,10_14,0,0,0.0
E12000001,North East,region,2022-06-29,15_19,0,0,0.0
E12000001,North East,region,2022-06-29,20_24,0,0,0.0
E12000001,North East,region,2022-06-29,25_29,0,0,0.0
E12000001,North East,region,2022-06-29,30_34,0,0,0.0
E12000001,North East,region,2022-06-29,35_39,0,0,0.0
E12000001,North East,region,2022-06-29,40_44,0,0,0.0
E12000001,North East,region,2022-06-29,45_49,0,0,0.0
E12000001,North East,region,2022-06-29,50_54,0,1,0.5
E12000001,North East,region,2022-06-29,55_59,0,1,0.5
E12000001,North East,region,2022-06-29,60+,4,26,3.7
E12000001,North East,region,2022-06-29,60_64,0,1,0.6
E12000001,North East,region,2022-06-29,65_69,0,2,1.3
E12000001,North East,region,2022-06-29,70_74,1,4,2.7
E12000001,North East,region,2022-06-29,75_79,0,3,3.0
E12000001,North East,region,2022-06-29,80_84,2,5,6.7
E12000001,North East,region,2022-06-29,85_89,1,4,9.1
E12000001,North East,region,2022-06-29,90+,0,7,31.0
E12000001,North East,region,2022-06-28,00_04,0,0,0.0
E12000001,North East,region,2022-06-28,00_59,0,2,0.1
E12000001,North East,region,2022-06-28,05_09,0,0,0.0
E12000001,North East,region,2022-06-28,10_14,0,0,0.0
E12000001,North East,region,2022-06-28,15_19,0,0,0.0
E12000001,North East,region,2022-06-28,20_24,0,0,0.0
E12000001,North East,region,2022-06-28,25_29,0,0,0.0
E12000001,North East,region,2022-06-28,30_34,0,0,0.0
E12000001,North East,region,2022-06-28,35_39,0,0,0.0
E12000001,North East,region,2022-06-28,40_44,0,0,0.0
E12000001,North East,region,2022-06-28,45_49,0,0,0.0
E12000001,North East,region,2022-06-28,50_54,0,1,0.5
E12000001,North East,region,2022-06-28,55_59,0,1,0.5
E12000001,North East,region,2022-06-28,60+,5,25,3.5
E12000001,North East,region,2022-06-28,60_64,1,1,0.6
E12000001,North East,region,2022-06-28,65_69,1,2,1.3
E12000001,North East,region,2022-06-28,70_74,1,3,2.0
E12000001,North East,region,2022-06-28,75_79,1,4,4.0
E12000001,North East,region,2022-06-28,80_84,0,5,6.7
E12000001,North East,region,2022-06-28,85_89,0,3,6.8
E12000001,North East,region,2022-06-28,90+,1,7,31.0
E12000001,North East,region,2022-06-27,00_04,0,0,0.0
E12000001,North East,region,2022-06-27,00_59,0,2,0.1
E12000001,North East,region,2022-06-27,05_09,0,0,0.0
E12000001,North East,region,2022-06-27,10_14,0,0,0.0
E12000001,North East,region,2022-06-27,15_19,0,0,0.0
E12000001,North East,region,2022-06-27,20_24,0,0,0.0
E12000001,North East,region,2022-06-27,25_29,0,0,0.0
E12000001,North East,region,2022-06-27,30_34,0,0,0.0
E12000001,North East,region,2022-06-27,35_39,0,0,0.0
E12000001,North East,region,2022-06-27,40_44,0,0,0.0
E12000001,North East,region,2022-06-27,45_49,0,0,0.0
E12000001,North East,region,2022-06-27,50_54,0,1,0.5
E12000001,North East,region,2022-06-27,55_59,0,1,0.5
E12000001,North East,region,2022-06-27,60+,4,26,3.7
E12000001,North East,region,2022-06-27,60_64,0,0,0.0
E12000001,North East,region,2022-06-27,65_69,0,2,1.3
E12000001,North East,region,2022-06-27,70_74,0,3,2.0
E12000001,North East,region,2022-06-27,75_79,1,4,4.0
E12000001,North East,region,2022-06-27,80_84,1,7,9.4
E12000001,North East,region,2022-06-27,85_89,0,4,9.1
E12000001,North East,region,2022-06-27,90+,2,6,26.6
E12000001,North East,region,2022-06-26,00_04,0,0,0.0
E12000001,North East,region,2022-06-26,00_59,0,4,0.2
E12000001,North East,region,2022-06-26,05_09,0,0,0.0
E12000001,North East,region,2022-06-26,10_14,0,0,0.0
E12000001,North East,region,2022-06-26,15_19,0,0,0.0
E12000001,North East,region,2022-06-26,20_24,0,0,0.0
E12000001,North East,region,2022-06-26,25_29,0,0,0.0
E12000001,North East,region,2022-06-26,30_34,0,0,0.0
E12000001,North East,region,2022-06-26,35_39,0,1,0.6
E12000001,North East,region,2022-06-26,40_44,0,0,0.0
E12000001,North East,region,2022-06-26,45_49,0,0,0.0
E12000001,North East,region,2022-06-26,50_54,0,2,1.1
E12000001,North East,region,2022-06-26,55_59,0,1,0.5
E12000001,North East,region,2022-06-26,60+,2,25,3.5
E12000001,North East,region,2022-06-26,60_64,0,0,0.0
E12000001,North East,region,2022-06-26,65_69,1,2,1.3
E12000001,North East,region,2022-06-26,70_74,0,3,2.0
E12000001,North East,region,2022-06-26,75_79,0,4,4.0
E12000001,North East,region,2022-06-26,80_84,0,7,9.4
E12000001,North East,region,2022-06-26,85_89,0,5,11.4
E12000001,North East,region,2022-06-26,90+,1,4,17.7
E12000001,North East,region,2022-06-25,00_04,0,0,0.0
E12000001,North East,region,2022-06-25,00_59,1,5,0.3
E12000001,North East,region,2022-06-25,05_09,0,0,0.0
E12000001,North East,region,2022-06-25,10_14,0,0,0.0
E12000001,North East,region,2022-06-25,15_19,0,0,0.0
E12000001,North East,region,2022-06-25,20_24,0,0,0.0
E12000001,North East,region,2022-06-25,25_29,0,0,0.0
